省份,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮,叶绿素α,藻密度
广东省,珠江流域,蕉门,02-18 14:00,3,20.7,8.29,7.41,20516.6,37.8,4.37,0.299,0.042,2.36,,
广东省,珠江流域,洪奇沥,02-18 14:00,2,20.2,7.94,8.27,8526.4,29.1,2.67,0.056,0.046,2.70,,
广东省,珠江流域,莲花山,02-18 14:00,3,20.7,7.87,7.07,11666.8,29.2,5.71,0.182,0.074,3.43,,
广东省,珠江流域,流溪河山庄,02-18 14:00,2,20.7,7.48,9.15,76.9,5.9,0.73,0.010,0.022,0.72,,
广东省,珠江流域,官坦,02-18 14:00,2,21.2,7.87,9.50,4742.6,2.8,--,0.035,0.047,--,,
广东省,珠江流域,大龙涌口,02-18 14:00,2,20.4,7.69,8.46,2315.9,15.8,1.80,0.006,0.048,2.96,,
广东省,珠江流域,九龙潭,02-18 14:00,1,21.0,7.47,8.90,112.7,14.5,0.94,0.008,0.018,0.95,,
广东省,珠江流域,增江口,02-18 14:00,2,21.2,7.20,8.83,169.4,10.2,1.10,0.011,0.030,1.65,,
广东省,珠江流域,鸦岗,02-18 14:00,3,21.3,7.71,8.33,514.2,66.5,3.10,0.076,0.130,3.91,,
广东省,珠江流域,墩头基,02-18 14:00,2,20.7,7.84,7.94,8188.6,45.9,3.79,0.096,0.058,3.25,,
广东省,珠江流域,大墩,02-18 13:00,2,20.8,7.36,8.63,177.1,18.4,2.04,0.052,0.042,1.83,,
