省份,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮,叶绿素α,藻密度
北京市,海河流域,鼓楼外大街,02-18 14:00,1,7.9,8.04,10.86,440.7,25.3,1.91,0.002,0.018,2.81,,
北京市,海河流域,广北滨河路（桥）,02-18 14:00,2,12.3,8.02,12.03,1143.0,14.8,0.90,,0.023,10.94,,
北京市,海河流域,沙窝,02-18 14:00,2,9.0,7.83,10.85,722.0,15.4,3.18,0.055,0.032,6.29,,
北京市,海河流域,新八里桥,02-18 14:00,2,10.9,8.51,17.67,878.9,9.0,2.57,0.070,0.027,9.13,,
北京市,海河流域,大红门闸上,02-18 14:00,2,14.8,8.26,15.33,1262.7,2.6,2.76,,,9.13,,
北京市,海河流域,南大荒桥,02-18 14:00,2,4.5,8.30,12.68,1011.7,13.3,3.28,,0.029,5.06,,
北京市,海河流域,清河闸,02-18 14:00,2,15.8,7.62,7.48,857.2,3.0,2.42,0.033,0.076,5.43,,
北京市,海河流域,花园路,02-18 14:00,2,11.9,7.66,13.18,758.6,7.8,2.44,0.035,0.040,9.12,,
北京市,海河流域,白石桥,02-18 14:00,2,7.4,8.16,13.41,384.9,16.1,2.70,,,2.74,,
北京市,海河流域,八间房漫水桥,02-18 14:00,3,6.7,7.89,12.14,1130.0,9.0,3.17,0.163,0.106,6.22,,
