省份,流域,断面名称,监测时间,水质类别,水温 (℃),pH (无量纲),溶解氧 (mg/L),电导率 (μS/cm),浊度 (NTU),高锰酸盐指数 (mg/L),氨氮 (mg/L),总磷 (mg/L),总氮 (mg/L),叶绿素α (mg/L),藻密度 (cells/L)
北京市,海河流域,鼓楼外大街,03-06 17:00,2,7.3,8.09,10.42,496.9,16.4,2.39,0.119,0.015,3.23,--,--
北京市,海河流域,广北滨河路（桥）,03-06 17:00,2,11.8,8.07,13.01,1048.3,3.7,1.43,0.095,0.024,9.51,--,--
北京市,海河流域,沙窝,03-06 17:00,2,10.3,7.83,10.44,829.1,35.7,3.72,0.128,0.035,6.05,--,--
北京市,海河流域,新八里桥,03-06 17:00,3,11.8,8.47,16.53,1016.3,1.9,4.63,0.131,0.051,12.77,--,--
北京市,海河流域,大红门闸上,03-06 17:00,2,15.6,8.22,16.78,1298.1,3.8,3.44,0.030,0.044,11.31,--,--
北京市,海河流域,南大荒桥,03-06 17:00,2,4.3,8.43,13.12,952.4,12.0,3.27,0.013,0.034,5.27,--,--
北京市,海河流域,清河闸,03-06 17:00,2,15.2,7.67,7.32,817.3,10.8,2.49,0.012,0.097,7.30,--,--
北京市,海河流域,花园路,03-06 17:00,2,11.8,7.68,14.90,831.3,7.4,2.59,0.101,0.051,9.01,--,--
北京市,海河流域,白石桥,03-06 17:00,2,7.4,8.10,13.34,459.3,6.9,2.45,0.073,0.012,3.29,--,--
北京市,海河流域,八间房漫水桥,03-06 17:00,3,7.1,7.96,11.30,1108.1,12.9,3.66,0.172,0.107,5.86,--,--
北京市,海河流域,码头,03-06 17:00,2,8.7,7.64,11.28,1027.4,21.1,2.17,0.201,0.044,--,--,--
北京市,海河流域,罗庄,03-06 17:00,2,11.2,8.50,17.77,1278.5,9.5,3.76,0.071,0.071,8.06,--,--
北京市,海河流域,小屯桥,03-06 17:00,3,7.3,8.12,10.67,1257.4,10.0,4.15,0.088,0.063,8.24,--,--
北京市,海河流域,东店,03-06 17:00,2,8.7,7.88,11.88,779.4,9.4,2.35,0.161,0.050,13.31,--,--
北京市,海河流域,密云水库,03-06 17:00,2,2.1,8.12,14.71,432.6,0.4,2.73,0.011,0.011,3.88,--,--
北京市,海河流域,大关桥,03-06 17:00,1,2.7,7.95,11.27,467.9,2.7,1.13,--,0.013,6.64,--,--
北京市,海河流域,谷家营,03-06 17:00,6,7.1,7.78,10.72,667.1,4.9,15.02,0.023,0.022,7.25,--,--
北京市,海河流域,后城,03-06 17:00,1,5.2,8.53,11.19,638.9,17.3,1.05,0.020,0.015,12.22,--,--
天津市,海河流域,三岔口,03-06 16:00,2,5.9,8.29,11.80,1030.1,4.7,2.93,0.244,0.036,4.26,--,--
天津市,海河流域,北洋桥,03-06 17:00,2,5.9,8.18,12.21,1043.6,5.6,3.13,0.249,0.041,4.28,--,--
天津市,海河流域,大红桥,03-06 17:00,4,5.4,8.26,13.01,1024.5,7.4,7.64,0.322,0.038,4.56,--,--
天津市,海河流域,曹庄子泵站,03-06 17:00,2,9.4,8.17,11.04,278.4,1.5,2.42,--,0.007,1.04,--,--
天津市,海河流域,生产圈闸,03-06 17:00,2,6.0,7.99,16.29,935.9,0.2,2.87,0.184,0.023,4.27,--,--
天津市,海河流域,土门楼,03-06 17:00,2,6.5,8.24,13.15,1046.1,2.9,3.97,0.042,0.029,7.56,--,--
天津市,海河流域,尔王庄泵站,03-06 17:00,2,6.8,8.17,11.46,594.1,2.1,2.53,0.016,0.003,2.74,--,--
天津市,海河流域,塘汉公路桥,03-06 17:00,3,5.8,8.27,10.12,1037.4,12.7,4.21,0.089,0.079,5.78,--,--
天津市,海河流域,海河大闸,03-06 17:00,3,7.8,8.52,13.03,7108.9,5.8,5.39,0.324,0.084,4.46,--,--
天津市,海河流域,北排水河防潮闸,03-06 17:00,2,10.7,8.09,11.27,2987.0,9.0,3.50,0.038,0.055,1.11,--,--
天津市,海河流域,沧浪渠出境,03-06 17:00,-1,--,--,--,--,--,--,--,--,--,--,--
天津市,海河流域,万家码头,03-06 17:00,4,5.8,8.43,11.52,2916.0,14.3,7.16,0.071,0.066,1.82,--,--
天津市,海河流域,蓟运河防潮闸,03-06 17:00,4,5.3,8.38,14.87,1440.8,4.0,6.26,0.222,0.093,3.14,--,--
天津市,海河流域,青静黄防潮闸,03-06 17:00,5,4.3,8.55,13.30,8647.1,11.4,11.69,0.765,0.183,3.22,--,--
天津市,海河流域,阎辛庄,03-06 17:00,3,5.9,8.74,15.03,1199.5,11.1,5.63,0.046,0.049,4.30,--,--
天津市,海河流域,于桥水库出口,03-06 17:00,2,5.7,8.18,11.08,472.4,5.1,2.21,0.018,0.011,2.76,--,--
天津市,海河流域,沙河桥,03-06 17:00,2,7.6,7.88,12.38,808.2,5.6,1.40,--,0.025,14.13,--,--
天津市,海河流域,果河桥,03-06 16:00,2,8.1,7.98,13.08,764.7,1.9,1.37,0.019,0.026,12.72,--,--
天津市,海河流域,西屯桥,03-06 17:00,2,6.4,8.00,12.17,529.0,14.7,2.78,0.019,0.027,2.74,--,--
河北省,海河流域,下槐镇,03-06 17:00,2,7.3,8.34,12.11,758.0,49.3,2.02,0.110,0.074,4.36,--,--
河北省,海河流域,地都,03-06 17:00,2,14.3,7.79,7.87,1332.9,4.0,1.25,0.306,0.077,5.82,--,--
河北省,海河流域,平山桥,03-06 17:00,1,11.2,8.39,12.41,1045.9,4.8,0.87,0.016,0.014,6.42,--,--
河北省,海河流域,兆通,03-06 17:00,2,9.2,8.54,12.19,260.7,10.6,2.11,0.020,0.009,1.11,--,--
河北省,海河流域,大石桥,03-06 17:00,4,8.5,7.65,11.02,1361.4,110.3,--,0.545,0.201,12.29,--,--
