station_id,station_name,province,city,river_basin,location
HW_沿江渡,沿江渡,贵州省,遵义市,长江流域,贵州省 遵义市 长江流域
NW_0017dc02,岳城水库出口,河北省,,海河流域,河北省 - 海河流域
NW_00b240bc,北峪口,山西省,,黄河流域,山西省 - 黄河流域
NW_01bc1c6c,上二道河子,河北省,,海河流域,河北省 - 海河流域
NW_04823fc2,新八里桥,北京市,,海河流域,北京市 - 海河流域
NW_04da64a6,王庄桥南,山西省,,黄河流域,山西省 - 黄河流域
NW_04e3cc84,后城,北京市,,海河流域,北京市 - 海河流域
NW_065bc355,张留庄,山西省,,黄河流域,山西省 - 黄河流域
NW_075ac3e4,汾河水库出口,山西省,,黄河流域,山西省 - 黄河流域
NW_08335b97,上亳城,山西省,,黄河流域,山西省 - 黄河流域
NW_0b2e8de5,广北滨河路（桥）,北京市,,海河流域,北京市 - 海河流域
NW_0be960cb,曲立,山西省,,黄河流域,山西省 - 黄河流域
NW_0e8ebe4d,阎辛庄,天津市,,海河流域,天津市 - 海河流域
NW_11bc3442,嵯岗,内蒙古自治区,,松花江流域,内蒙古自治区 - 松花江流域
NW_121016d1,碧村,山西省,,黄河流域,山西省 - 黄河流域
NW_127f1f6e,花园路,北京市,,海河流域,北京市 - 海河流域
NW_172ae0c9,大红桥,天津市,红桥区,海河流域,天津市 - 海河流域
NW_1922bd17,四道甸,河北省,,海河流域,河北省 - 海河流域
NW_1ae866c4,下槐镇,河北省,,海河流域,河北省 - 海河流域
NW_1b5b3189,南姚,山西省,,黄河流域,山西省 - 黄河流域
NW_1d902280,裴沟,山西省,,黄河流域,山西省 - 黄河流域
NW_1f4c1d30,裴家川口,山西省,,黄河流域,山西省 - 黄河流域
NW_20f50839,吴村,河北省,,海河流域,河北省 - 海河流域
NW_2108cc13,涧河口,河北省,,海河流域,河北省 - 海河流域
NW_218b22c3,兆通,河北省,,海河流域,河北省 - 海河流域
NW_24425826,土门楼,天津市,,海河流域,天津市 - 海河流域
NW_262157c1,平山桥,河北省,,海河流域,河北省 - 海河流域
NW_28802665,杨洼闸（王家摆）,河北省,,海河流域,河北省 - 海河流域
NW_28b0895c,黑城村,山西省,,黄河流域,山西省 - 黄河流域
NW_2a3cc367,三川河两河口桥,山西省,,黄河流域,山西省 - 黄河流域
NW_2dbf8654,沙窝,北京市,,海河流域,北京市 - 海河流域
NW_2dd09bb1,清河闸,北京市,,海河流域,北京市 - 海河流域
NW_2de3eecf,衡水湖大湖心,河北省,衡水市,海河流域,河北省 - 海河流域
NW_2e970e42,张峰水库出口,山西省,,黄河流域,山西省 - 黄河流域
NW_30019c63,大山矿,内蒙古自治区,,松花江流域,内蒙古自治区 - 松花江流域
NW_32c5b40d,安固桥（桑柳树）,山西省,,黄河流域,山西省 - 黄河流域
NW_338e49ea,白石桥,北京市,,海河流域,北京市 - 海河流域
NW_34154c4b,曹庄子泵站,天津市,,海河流域,天津市 - 海河流域
NW_3521340d,三岔口,天津市,,海河流域,天津市 - 海河流域
NW_3692536e,蓟运河防潮闸,天津市,,海河流域,天津市 - 海河流域
NW_3828c5b9,四埝村桥,河北省,,海河流域,河北省 - 海河流域
NW_3ad75763,成吉思汗,内蒙古自治区,,松花江流域,内蒙古自治区 - 松花江流域
NW_3c0c00c0,梵王寺,山西省,,海河流域,山西省 - 海河流域
NW_3c9ea079,古家坡,山西省,,海河流域,山西省 - 海河流域
NW_3e41ed73,龙头,山西省,,黄河流域,山西省 - 黄河流域
NW_3e48ccea,大王务,河北省,,海河流域,河北省 - 海河流域
NW_452d83e3,安州,河北省,,海河流域,河北省 - 海河流域
NW_455f26e3,韩武村,山西省,,黄河流域,山西省 - 黄河流域
NW_4edf0060,生产圈闸,天津市,,海河流域,天津市 - 海河流域
NW_503cf9e3,谷家营,北京市,,海河流域,北京市 - 海河流域
NW_505a9393,果河桥,天津市,,海河流域,天津市 - 海河流域
NW_5383ae7c,后西吴桥,河北省,,海河流域,河北省 - 海河流域
NW_5843ae2e,司徒桥,山西省,,海河流域,山西省 - 海河流域
NW_5b80d532,海河大闸,天津市,,海河流域,天津市 - 海河流域
NW_5f2670a6,东榆林水库出口,山西省,,海河流域,山西省 - 海河流域
NW_615736e5,东店,北京市,,海河流域,北京市 - 海河流域
NW_61d9095a,青静黄防潮闸,天津市,,海河流域,天津市 - 海河流域
NW_642faa7e,闫家庄大桥,山西省,,海河流域,山西省 - 海河流域
NW_65656407,密云水库,北京市,,海河流域,北京市 - 海河流域
NW_66322f7f,白合,河北省,,海河流域,河北省 - 海河流域
NW_6aa1bb8b,杜里村,河北省,,海河流域,河北省 - 海河流域
NW_6d5ae311,河西村,山西省,河西区,黄河流域,山西省 - 黄河流域
NW_705b9062,滦县大桥,河北省,,海河流域,河北省 - 海河流域
NW_70d3ea8b,八号桥,河北省,,海河流域,河北省 - 海河流域
NW_71a7d5a9,万家码头,天津市,,海河流域,天津市 - 海河流域
NW_73bf8adb,南庄,山西省,,海河流域,山西省 - 海河流域
NW_77224f22,北洋桥,天津市,,海河流域,天津市 - 海河流域
