"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"X1","CRYSTAL-SMD_4P-L3.2-W2.5-BL-1","97.282mm","77.089mm","97.282mm","77.089mm","98.157mm","75.989mm","T","90.00","8MHZ"
"U2","SOT23-3","88.392mm","99.822mm","88.392mm","99.822mm","87.442mm","98.647mm","T","90.00","ME6239A33M3G"
"U1","LQFP-48","108.433mm","76.302mm","108.458mm","76.327mm","103.833mm","79.052mm","T","0.00","STM32F103C8T6"
"S3","SW-SMD_4P-L6.2-W6.2-P4.50-LS9.0","94.869mm","53.594mm","94.869mm","53.594mm","90.569mm","55.8439mm","T","360.00","SW"
"S2","SW-SMD_4P-L6.2-W6.2-P4.50-LS9.0","109.474mm","53.594mm","109.474mm","53.594mm","105.174mm","55.8439mm","T","360.00","SW"
"S1","SW-SMD_4P-L6.2-W6.2-P4.50-LS9.0","124.079mm","53.594mm","124.079mm","53.594mm","119.779mm","55.8439mm","T","360.00","SW"
"R7","RES_0603","91.313mm","96.012mm","91.313mm","96.012mm","91.313mm","95.162mm","T","90.00","10K次,5%"
"R6","RES_0603","107.315mm","84.836mm","107.315mm","84.836mm","107.315mm","83.986mm","T","90.00","10K,5%"
"R5","RES_0603","97.409mm","70.104mm","97.409mm","70.104mm","98.259mm","70.104mm","T","180.00","10K,5%"
"R4","RES_0603","130.429mm","71.755mm","130.429mm","71.755mm","131.279mm","71.755mm","T","180.00","10K次,5%"
"R3","RES_0603","127.127mm","71.755mm","127.127mm","71.755mm","127.977mm","71.755mm","T","180.00","10K次,5%"
"R2","RES_0603","130.302mm","91.948mm","130.302mm","91.948mm","131.152mm","91.948mm","T","180.00","100R"
"R1","RES_0603","108.331mm","66.548mm","108.331mm","66.548mm","108.331mm","65.698mm","T","90.00","10K次,5%"
"P4","HDR1X4","122.682mm","78.359mm","122.682mm","82.169mm","122.682mm","82.169mm","T","270.00","SWD狟婥諳"
"P3","OLED-TH_L27.8-W27.2-P2.54_C9900033791","109.22mm","110.617mm","109.22mm","110.617mm","105.41mm","110.617mm","T","0.00","OLED"
"P2","SIP06-2.54","135.259mm","73.025mm","135.255mm","79.375mm","135.255mm","79.375mm","T","270.00","PH"
"P1","SIP03-2.5","135.255mm","94.615mm","135.255mm","94.615mm","135.251mm","97.157mm","T","270.00","TDS"
"LED2","LED-0603","91.3102mm","92.5372mm","91.313mm","93.345mm","91.3102mm","93.3372mm","T","270.00","LED_0603_RED"
"LED1","LED-0603","108.3282mm","63.0732mm","108.331mm","63.881mm","108.3282mm","63.8732mm","T","270.00","LED_0603_RED"
"J1","USB-Mirco-5SB","79.166mm","99.175mm","80.518mm","101.6mm","81.038mm","100.475mm","T","90.00","USB"
"C11","CAP_0603","91.313mm","99.568mm","91.313mm","99.568mm","91.313mm","100.368mm","T","270.00","104,X7R,25V,10%"
"C10","CAP_0603","85.217mm","99.568mm","85.217mm","99.568mm","85.217mm","98.768mm","T","90.00","106,X7R,10V,20%"
"C9","CAP_0603","130.429mm","66.802mm","130.429mm","66.802mm","129.629mm","66.802mm","T","0.00","104,X7R,25V,10%"
"C8","CAP_0603","83.693mm","99.568mm","83.693mm","99.568mm","83.693mm","98.768mm","T","90.00","106,X7R,10V,20%"
"C7","CAP_0603","97.409mm","71.628mm","97.409mm","71.628mm","98.209mm","71.628mm","T","180.00","104,X7R,16V,10%"
"C6","CAP_0603","97.409mm","68.453mm","97.409mm","68.453mm","98.209mm","68.453mm","T","180.00","104,X7R,16V,10%"
"C5","CAP_0603","105.791mm","84.836mm","105.791mm","84.836mm","105.791mm","84.036mm","T","90.00","104,X7R,16V,10%"
"C4","CAP_0603","111.379mm","66.548mm","111.379mm","66.548mm","111.379mm","67.348mm","T","270.00","104,X7R,16V,10%"
"C3","CAP_0603","117.221mm","78.994mm","117.221mm","78.994mm","116.421mm","78.994mm","T","0.00","104,X7R,16V,10%"
"C2","CAP_0603","97.409mm","80.518mm","97.409mm","80.518mm","98.209mm","80.518mm","T","180.00","20pF,X7R,16V,10%"
"C1","CAP_0603","97.409mm","73.279mm","97.409mm","73.279mm","98.209mm","73.279mm","T","180.00","20pF,X7R,16V,10%"
"BL1","BELL","84.455mm","66.802mm","84.455mm","66.802mm","84.455mm","70.612mm","T","270.00","BELL"
"Q1","SOT23-3","92.964mm","62.738mm","92.964mm","62.738mm","94.139mm","61.788mm","T","180.00","S8050"
"R8","RES_0603","97.409mm","62.738mm","97.409mm","62.738mm","97.409mm","63.588mm","T","270.00","1K,5%"
"R9","RES_0603","95.758mm","62.738mm","95.758mm","62.738mm","95.758mm","63.588mm","T","270.00","10K,5%"

